[70,] #SUP0.054016201075024604
[71,] #SUP0.0444015444015444
[72,] #SUP0.05257778787190552
[73,] #SUP0.09766068589598001
[74,] #SUP0.052994170641229466
[76,] #SUP0.04512075100310394
[79,] #SUP0.045915663562722385
[83,] #SUP0.03278067983950337
[91,] #SUP0.023317435082140965
[94,] #SUP0.04466651525475055
[97,] #SUP0.029071087894617306
[98,] #SUP0.023393141040199864
[103,] #SUP0.02203043379513968
[105,] #SUP0.04023771670830494
[111,] #SUP0.04156257097433568
[112,] #SUP0.021311227193580133
[113,] #SUP0.0450071920660156
[116,] #SUP0.059391324097206454
[117,] #SUP0.0344840638958286
[119,] #SUP0.03240215004920887
[121,] #SUP0.0594291770762359
[123,] #SUP0.0450071920660156
[126,] #SUP0.03940495116965705
[127,] #SUP0.024150200620788854
[130,] #SUP0.04353092588386706
[131,] #SUP0.03145582557347263
[133,] #SUP0.05042016806722689
[141,] #SUP0.0842228783405254
[146,] #SUP0.07952910894087364
[148,] #SUP0.02880611704141116
[152,] #SUP0.09508668332197744
[155,] #SUP0.04841396017866606
[156,] #SUP0.02059202059202059
[160,] #SUP0.02782193958664547
[162,] #SUP0.051290786584904234
[163,] #SUP0.024377318494965553
[169,] #SUP0.04841396017866606
[172,] #SUP0.03221288515406162
[173,] #SUP0.023128170186993716
[174,] #SUP0.05874782345370581
[176,] #SUP0.05322128851540616
[178,] #SUP0.06597774244833068
[181,] #SUP0.027859792565674918
[184,] #SUP0.06117041411159058
[186,] #SUP0.03391626921038686
[193,] #SUP0.030509501097736393
[194,] #SUP0.022598228480581423
[197,] #SUP0.0297524415171474
[198,] #SUP0.05227496403966992
[199,] #SUP0.03346203346203346
[202,] #SUP0.03474903474903475
[204,] #SUP0.05242637595578772
[205,] #SUP0.08550987962752668
[206,] #SUP0.04595351654175184
[208,] #SUP0.04390945567416156
[211,] #SUP0.04970096146566735
[213,] #SUP0.02869255810432281
[215,] #SUP0.027178438943144825
[218,] #SUP0.09656294950412597
[228,] #SUP0.024528730411083353
[230,] #SUP0.03577106518282989
[235,] #SUP0.03955636308577485
[237,] #SUP0.034332651979710804
[240,] #SUP0.030395942160648042
[243,] #SUP0.03554394730865319
[250,] #SUP0.026118555530320237
[257,] #SUP0.021197668256491786
[266,] #SUP0.02668635021576198
[267,] #SUP0.036414565826330535
[275,] #SUP0.03505185858127034
[276,] #SUP0.036301006889242184
[277,] #SUP0.046672723143311376
[280,] #SUP0.07782572488454842
[281,] #SUP0.052237111060640475
[284,] #SUP0.062116738587326824
[286,] #SUP0.0248694072223484
[291,] #SUP0.04133545310015898
[295,] #SUP0.04031342266636384
[296,] #SUP0.033197062608827314
[297,] #SUP0.043000984177454765
[305,] #SUP0.0344083579377697
[308,] #SUP0.025475054886819594
[309,] #SUP0.0498145204027557
[311,] #SUP0.0393670981906276
[321,] #SUP0.025285789991672344
[322,] #SUP0.021386933151639035
[323,] #SUP0.0444015444015444
[327,] #SUP0.03906427435839201
[332,] #SUP0.02172760996290408
[335,] #SUP0.07267771973654327
[336,] #SUP0.02184116889999243
[340,] #SUP0.028086910439851617
[344,] #SUP0.05378908320084791
[347,] #SUP0.05125293360587478
[348,] #SUP0.02797335150276327
[349,] #SUP0.026118555530320237
[350,] #SUP0.027216291922174275
[352,] #SUP0.032553561965326674
[353,] #SUP0.02104625634037399
[355,] #SUP0.0749867514573397
[359,] #SUP0.024074494662729956
[363,] #SUP0.04326595503066091
[369,] #SUP0.14107805284275873
[374,] #SUP0.04076765841471724
[375,] #SUP0.028200469376939964
[378,] #SUP0.033121356650768416
[379,] #SUP0.028995381936558408
[382,] #SUP0.07816640169581346
[386,] #SUP0.021879021879021878
[388,] #SUP0.04258460140813082
[391,] #SUP0.08085396320690438
[393,] #SUP0.020478461654932244
[395,] #SUP0.020932697403285638
[402,] #SUP0.0640850934968582
[404,] #SUP0.03209932621697328
[406,] #SUP0.02066772655007949
[409,] #SUP0.024982966159436747
[412,] #SUP0.0393670981906276
[413,] #SUP0.028200469376939964
[414,] #SUP0.0401241577712166
[415,] #SUP0.038004390945567415
[420,] #SUP0.06219244454538572
[423,] #SUP0.03153153153153153
[424,] #SUP0.041297600121129534
[425,] #SUP0.025361495949731243
[428,] #SUP0.09573018396547808
[430,] #SUP0.02172760996290408
[439,] #SUP0.09069573775456129
[448,] #SUP0.02759482171246877
[450,] #SUP0.041978953743659626
[451,] #SUP0.04356877886289651
[461,] #SUP0.11484593837535013
[462,] #SUP0.026345673404496932
[465,] #SUP0.02176546294193353
[471,] #SUP0.055908850026497085
[473,] #SUP0.03221288515406162
[475,] #SUP0.0248694072223484
[478,] #SUP0.06124612006964948
[481,] #SUP0.06117041411159058
[485,] #SUP0.047164811870694226
[487,] #SUP0.036944507532742824
[488,] #SUP0.042887425240366414
[490,] #SUP0.04099477628889393
[493,] #SUP0.04182754182754183
[495,] #SUP0.06188962071315012
[497,] #SUP0.024225906578847756
[505,] #SUP0.02778408660761602
[506,] #SUP0.03164509046861988
[508,] #SUP0.05348625936861231
[510,] #SUP0.07154213036565978
[511,] #SUP0.09387538799303505
[512,] #SUP0.025247937012642895
[517,] #SUP0.022143992732228026
[519,] #SUP0.020705579529108942
[522,] #SUP0.025399348928760692
[523,] #SUP0.033007797713680065
[524,] #SUP0.03550609432962374
[527,] #SUP0.028616852146263912
[530,] #SUP0.10106745400863047
[531,] #SUP0.023544552956317664
[539,] #SUP0.04674842910137028
[540,] #SUP0.020705579529108942
[541,] #SUP0.049776667423726245
[542,] #SUP0.044969339086986145
[545,] #SUP0.020289196759784994
[549,] #SUP0.060072677719736546
[551,] #SUP0.030282383223559695
[555,] #SUP0.027064880006056478
[562,] #SUP0.04519645696116285
[566,] #SUP0.021197668256491786
[568,] #SUP0.020440608675902795
[569,] #SUP0.06355515179044591
[572,] #SUP0.047240517828753124
[573,] #SUP0.04341736694677871
[574,] #SUP0.023166023166023165
[575,] #SUP0.034143387084563555
[577,] #SUP0.03720947838594897
[578,] #SUP0.02350669997728821
[579,] #SUP0.03864789158906806
[580,] #SUP0.0440987205693088
[581,] #SUP0.02589143765614354
[582,] #SUP0.03421909304262245
[584,] #SUP0.04152471799530623
[594,] #SUP0.0392156862745098
[595,] #SUP0.022598228480581423
[598,] #SUP0.0393670981906276
[599,] #SUP0.061738208797032325
